termName,termDescription
GDP,한 나라 안에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치의 합계를 의미합니다.
GNP,"국민총생산으로, 한 나라의 국민이 국내외에서 생산한 모든 최종 재화와 서비스의 시장 가치를 나타냅니다."
인플레이션,"물가가 지속적으로 상승하는 현상으로, 화폐 가치의 하락을 의미합니다."
디플레이션,"물가가 지속적으로 하락하는 현상으로, 경제 활동 위축을 초래할 수 있습니다."
스태그플레이션,경기 침체와 물가 상승이 동시에 발생하는 경제 현상입니다.
기준금리,"중앙은행이 금융기관에 자금을 대출할 때 적용하는 기본 금리로, 시중 금리의 기준이 됩니다."
콜금리,금융기관끼리 남거나 모자라는 자금을 30일 이내의 초단기로 빌려주고 받을 때 적용되는 금리입니다.
양적완화,중앙은행이 국채 등을 매입하여 시중에 통화량을 늘리는 통화정책입니다.
긴축정책,통화량을 줄이거나 금리를 인상하여 경기 과열을 억제하는 정책입니다.
경기순환,"경제 활동이 호황, 후퇴, 불황, 회복의 단계를 주기적으로 반복하는 현상입니다."
실업률,경제활동인구 중 일할 의사와 능력이 있으나 일자리를 구하지 못한 사람의 비율입니다.
경상수지,"국가 간 재화와 서비스 거래, 소득 및 경상이전 거래의 수지를 나타냅니다."
무역수지,"수출액에서 수입액을 뺀 값으로, 국제 무역의 수익성을 나타냅니다."
자본수지,"국가 간 자본의 유출입을 기록한 수지로, 직접투자, 증권투자 등이 포함됩니다."
외환보유액,정부나 중앙은행이 보유한 외국 통화와 금 등의 자산 총액입니다.
환율,"두 국가의 통화 교환 비율로, 한 나라 화폐의 상대적 가치를 나타냅니다."
통화정책,중앙은행이 통화량과 금리를 조절하여 물가 안정과 경제 성장을 도모하는 정책입니다.
재정정책,정부가 세입과 세출을 조절하여 경제를 안정시키고 성장을 촉진하는 정책입니다.
소비자물가지수,일반 소비자가 구입하는 상품과 서비스의 가격 변동을 측정한 지수입니다.
생산자물가지수,생산자가 판매하는 상품과 서비스의 가격 변동을 측정한 지수입니다.
구매력평가,"각국의 물가 수준을 고려하여 환율을 조정한 지표로, 실질적인 구매력을 비교합니다."
경제성장률,"일정 기간 동안 GDP가 증가한 비율로, 경제의 성장 속도를 나타냅니다."
잠재성장률,한 국가 경제가 보유한 생산요소를 완전히 활용했을 때 달성 가능한 최대 성장률입니다.
필립스곡선,실업률과 인플레이션율 간의 역관계를 나타내는 경제학 이론입니다.
총수요,경제 내에서 모든 경제 주체가 구매하고자 하는 재화와 서비스의 총량입니다.
총공급,경제 내에서 기업들이 생산하여 공급할 수 있는 재화와 서비스의 총량입니다.
승수효과,정부 지출이나 투자가 증가할 때 국민소득이 그 이상으로 증가하는 현상입니다.
한계소비성향,소득이 증가할 때 추가 소득 중에서 소비에 사용되는 비율입니다.
한계저축성향,소득이 증가할 때 추가 소득 중에서 저축에 사용되는 비율입니다.
국민부담률,조세와 사회보장기여금이 국민소득에서 차지하는 비율입니다.
재정적자,"정부의 세입이 세출보다 적어 발생하는 적자로, 국채 발행으로 보전됩니다."
국가채무,정부가 발행한 국채와 차입금을 합한 총 부채입니다.
통화승수,중앙은행이 공급한 본원통화가 은행 시스템을 통해 확대되는 배율입니다.
지급준비율,은행이 예금에 대해 의무적으로 중앙은행에 보관해야 하는 자금의 비율입니다.
테일러준칙,인플레이션과 실질GDP 갭을 고려하여 적정 기준금리를 산출하는 통화정책 규칙입니다.
오쿤의법칙,실업률이 1% 증가하면 실질GDP가 약 2% 감소한다는 경험적 법칙입니다.
리카도의대등정리,정부가 조세나 국채로 재정을 조달하는 것이 경제적 효과가 동일하다는 이론입니다.
크라우딩아웃효과,정부 지출 증가로 민간 투자가 감소하는 현상입니다.
수출주도성장,수출 증가를 경제 성장의 주요 동력으로 삼는 경제 발전 전략입니다.
수입대체산업화,수입품을 국내에서 생산하여 대체함으로써 산업화를 추진하는 전략입니다.
PER,"주가수익비율로, 주가를 주당순이익으로 나눈 값이며 주식의 상대적 가치를 평가하는 지표입니다."
PBR,"주가순자산비율로, 주가를 주당순자산으로 나눈 값이며 자산 가치 대비 주가 수준을 나타냅니다."
ROE,"자기자본이익률로, 당기순이익을 자기자본으로 나눈 비율이며 기업의 수익성을 나타냅니다."
ROA,"총자산이익률로, 당기순이익을 총자산으로 나눈 비율이며 자산 활용 효율성을 나타냅니다."
EPS,"주당순이익으로, 당기순이익을 발행주식수로 나눈 값이며 기업의 수익성을 나타냅니다."
BPS,"주당순자산으로, 순자산을 발행주식수로 나눈 값이며 주식의 실질 가치를 나타냅니다."
배당수익률,"주가 대비 배당금의 비율로, 주식 투자로 얻는 현금 수익률을 나타냅니다."
배당성향,"당기순이익 중 배당금으로 지급되는 비율로, 기업의 배당 정책을 나타냅니다."
시가총액,"발행 주식수에 주가를 곱한 값으로, 기업의 시장 가치를 나타냅니다."
유통주식수,"실제로 시장에서 거래 가능한 주식의 수로, 대주주 보유 주식 등을 제외한 주식수입니다."
액면가,"주식에 표시된 명목상의 가격으로, 발행 당시 정해진 기준 가격입니다."
공매도,보유하지 않은 주식을 빌려서 먼저 팔고 나중에 되사는 투자 기법입니다.
가치투자,기업의 내재 가치보다 주가가 저평가되었을 때 매수하여 장기 보유하는 투자 전략입니다.
성장주투자,높은 성장 잠재력을 가진 기업에 투자하여 주가 상승을 기대하는 전략입니다.
배당주투자,안정적인 배당 수익을 목적으로 배당 성향이 높은 기업에 투자하는 전략입니다.
모멘텀투자,주가 상승세가 지속될 것으로 예상되는 종목에 투자하는 전략입니다.
역발상투자,시장의 일반적인 기대와 반대로 투자하여 수익을 추구하는 전략입니다.
분산투자,여러 종목이나 자산에 투자하여 위험을 분산하는 투자 전략입니다.
