NO.,업무구분(대),업무구분(중),요구사항 명,요구사항내용,필요대상,중요도,수용여부,난이도,비고,"UsecaseDiagram 담당자 "
,,,,,,,,,,
FR-001,접속관리,메인화면 페이지,회원가입,사용자는 카카오 계정을 통해서 회원가입할 수 있어야한다.,사용자,상,수용,중,,박승범
FR-002,접속관리,메인화면 페이지,로그인,사용자는 카카오 계정을 통해서 로그인 할 수 있어야한다.,사용자,상,수용,중,,박승범
FR-003,접속관리,마이 페이지,로그아웃,사용자는 로그아웃을 할 수 있어야한다.,사용자,상,수용,중,,박승범
FR-004,마이 페이지,관심 키워드 설정,관심 키워드 등록,사용자는 본인이 관심있는 키워드를 등록할 수 있다,사용자,상,수용,중,,박승범
FR-005,마이 페이지,관심 키워드 설정,관심 키워드 수정,사용자는 본인이 관심있는 키워드를 수정할 수 있다,사용자,상,수용,중,,박승범
FR-006,마이 페이지,투자 성향 설정,투자 성향 등록,사용자는 본인의 투자 성향을 등록할 수 있다.,사용자,상,수용,중,,박기태
FR-007,마이 페이지,투자 성향 설정,투자 성향 수정,사용자는 본인의 투자 성향을 수정할 수 있다.,사용자,상,수용,중,,박기태
FR-008,마이페이지,기사 요약 난이도 설정,기사 요약 난이도 등록,사용자는 기사를 요약해줄 때 반영시킬 난이도를 등록할수 있다.,사용자,상,수용,하,난이도 : 쉬움 / 중간 / 어려움,박기태
FR-009,기사관리,기사 크롤링,금융 기사 크롤링,시스템은 기사를 크롤링할 수 있다.,시스템,상,수용,중,"주기 : 하루 매 시간마다
언론사별로 그룹핑 : 한국경제, 매일경제 등",박기태
FR-010,기사관리,기사 크롤링,금융 기사 저장,시스템은 크롤링한 데이터를 데이터베이스에 저장한다.,시스템,상,수용,중,데이터베이스 : NoSQL 예상,박기태
FR-011,기사관리,기사 요약,AI 기반 기사 요약,시스템은 내부 AI를 활용하여 사용자가 원하는 수준으로 기사 내용을 요약한다.,시스템,상,수용,중,,박기태
