termName,termDescription
GDP,"국내총생산(Gross Domestic Product)의 약자로, 한 나라의 영토 안에서 일정 기간 동안 생산된 모든 최종 재화와 서비스의 시장 가치를 합한 것을 의미함."
GNP,"국민총생산(Gross National Product)의 약자로, 한 나라의 국민이 국내외에서 생산한 부가가치의 합계를 의미함."
인플레이션,"물가가 지속적으로 상승하여 화폐의 가치가 하락하는 경제 현상."
디플레이션,"경제 전반적으로 상품과 서비스의 가격이 지속적으로 하락하는 현상으로, 인플레이션의 반대 개념."
스테그플레이션,"경기 침체(Stagnation)와 물가 상승(Inflation)이 동시에 발생하는 현상."
기준금리,"한 나라의 중앙은행이 금융 정세의 변화에 맞춰 결정하는 금리로, 각종 시중 금리의 기준이 됨."
양적완화,"중앙은행이 정책 금리를 더 이상 낮출 수 없을 때, 국채 매입 등을 통해 시중에 유동성을 직접 공급하는 정책."
베어마켓,"주가를 비롯한 자산 가격이 하락하고 있거나 하락할 것으로 예상되는 약세장."
불마켓,"장기간에 걸쳐 주가가 상승하는 강세장."
기축통화,"국제 외환시장에서 금융거래 또는 국제결제의 중심이 되는 통화(예: 미국 달러)."
유동성,"자산을 현금으로 얼마나 빨리, 손실 없이 교환할 수 있는지를 나타내는 정도."
골디락스,"경제가 높은 성장을 이루고 있더라도 물가 상승이 없는 이상적인 경제 상태."
PER,"주가수익비율(Price Earning Ratio)로, 현재 주가를 주당순이익(EPS)으로 나눈 값. 주가가 고평가인지 저평가인지 판단하는 지표."
PBR,"주가순자산비율(Price Book-value Ratio)로, 주가를 주당순자산가치(BPS)로 나눈 값. 1 미만이면 주가가 장부가치보다 낮음을 의미."
ROE,"자기자본이익률(Return On Equity)로, 투입한 자기자본이 얼마만큼의 이익을 냈는지를 나타내는 수익성 지표."
EPS,"주당순이익(Earning Per Share)으로, 기업이 벌어들인 순이익을 발행 주식 수로 나눈 값."
공매도,"주가 하락이 예상될 때 주식을 빌려 매도한 뒤, 실제로 가격이 떨어지면 싼값에 다시 사들여 차익을 남기는 투자 기법."
서킷브레이커,"주식시장에서 주가가 급등하거나 급락하는 경우, 시장의 충격을 완화하기 위해 주식 매매를 일시 정지하는 제도."
사이드카,"선물시장의 급등락이 현물시장에 미치는 영향을 막기 위해 프로그램 매매 호가를 일시적으로 제한하는 제도."
가치투자,"기업의 내재 가치보다 주가가 저평가되었을 때 매수하여, 시장에서 제 가치를 인정받을 때까지 장기 보유하는 투자 전략."
블루칩,"재무 구조가 건전하고 경기 변동에 강하며 수익성이 높은 우량 대형주."
ETF,"상장지수펀드(Exchange Traded Fund)로, 특정 주가 지수나 자산의 가격 움직임에 따라 수익률이 연동되도록 설계된 펀드."
IPO,"기업공개(Initial Public Offering)로, 기업이 일정 절차를 거쳐 자사의 주식을 일반 대중에게 처음으로 파는 행위."
배당수익률,"주가 대비 배당금이 차지하는 비율로, 투자자가 주식을 보유함으로써 얻을 수 있는 현금 흐름의 수익률."
손익계산서,"일정 기간 동안 기업의 경영 성과(수익과 비용)를 나타내는 재무제표."
대차대조표,"특정 시점 현재 기업의 재무 상태(자산, 부채, 자본)를 나타내는 재무상태표."
현금흐름표,"일정 기간 동안 기업의 현금 유입과 유출 내용을 영업, 투자, 재무 활동으로 구분하여 나타낸 보고서."
영업이익,"기업이 주된 영업 활동을 통해 벌어들인 이익으로, 매출액에서 매출원가와 판매비 및 관리비를 뺀 금액."
감가상각,"시간의 흐름에 따라 자산의 가치가 감소하는 것을 회계적으로 비용 처리하는 과정."
BEP,"손익분기점(Break-even Point)으로, 총수익과 총비용이 일치하여 이익도 손실도 발생하지 않는 시점."
유동비율,"기업의 단기 부채 상환 능력을 측정하는 지표로, 유동자산을 유동부채로 나눈 비율."
부채비율,"기업의 타인자본 의존도를 나타내는 지표로, 부채총계를 자본총계로 나눈 비율."
EBITDA,"이자비용, 세금, 감가상각비 등을 빼기 전 순이익으로, 기업의 현금 창출 능력을 나타내는 지표."
어닝서프라이즈,"기업의 실적 발표가 시장의 예상치를 훨씬 뛰어넘는 깜짝 실적을 기록하는 현상."
분식회계,"회사의 실적을 좋게 보이게 하기 위해 회계 장부를 조작하여 거짓으로 꾸미는 행위."
블록체인,"데이터를 블록에 담아 체인 형태로 연결하여 수많은 컴퓨터에 동시에 이를 복제해 저장하는 분산 데이터 저장 기술."
비트코인,"사토시 나카모토가 개발한 세계 최초의 탈중앙화된 암호화폐."
이더리움,"블록체인 기술을 기반으로 스마트 계약 기능을 구현할 수 있는 분산 컴퓨팅 플랫폼 및 운영 체제."
디파이,"탈중앙화 금융(DeFi, Decentralized Finance)의 약자로, 금융기관의 개입 없이 블록체인 기술을 활용해 제공하는 다양한 금융 서비스."
NFT,"대체 불가능 토큰(Non-Fungible Token)으로, 블록체인 기술을 이용해 디지털 자산의 소유주를 증명하는 가상의 토큰."
마이데이터,"개인이 자신의 신용정보를 주도적으로 관리하고, 이를 본인이 원하는 제3자에게 제공하여 맞춤형 금융 서비스를 받는 것."
오픈뱅킹,"하나의 앱만으로 자신이 가진 모든 은행의 계좌를 조회하고 이체할 수 있는 금융 서비스."
핀테크,"금융(Finance)과 기술(Technology)의 합성어로, IT 기술을 기반으로 한 혁신적인 금융 서비스."
로보어드바이저,"로봇(Robot)과 투자전문가(Advisor)의 합성어로, 알고리즘과 빅데이터를 활용해 개인의 자산 운용을 자문하고 관리해주는 서비스."
인슈어테크,"보험(Insurance)과 기술(Technology)의 합성어로, 데이터 분석과 AI 등을 활용해 보험 서비스를 혁신하는 기술."
CBDC,"중앙은행 디지털 화폐(Central Bank Digital Currency)로, 실물 화폐를 대체하거나 보완하기 위해 각국 중앙은행이 발행하는 디지털 화폐."
스마트계약,"블록체인을 기반으로 금융 거래, 부동산 계약 등 다양한 형태의 계약을 체결하고 이행하는 것을 자동화한 프로그램."
메타버스,"가상(Meta)과 우주(Universe)의 합성어로, 현실 세계와 같은 사회, 경제, 문화 활동이 이루어지는 3차원 가상 세계."
간편결제,"공인인증서 등의 복잡한 절차 없이 비밀번호나 생체 인식 등을 통해 간단하게 결제하는 서비스."
토큰이코노미,"암호화폐(토큰)를 통해 경제 생태계를 조성하고, 참여자에게 보상을 제공하여 활성화를 유도하는 시스템."
BIS비율,"국제결제은행(BIS)이 정한 은행의 위험자산 대비 자기자본비율로, 은행의 건전성을 나타내는 핵심 지표."
DSR,"총부채원리금상환비율(Debt Service Ratio)로, 연간 소득 대비 모든 대출의 원리금 상환액이 차지하는 비율."
LTV,"주택담보대출비율(Loan To Value ratio)로, 주택 가격 대비 대출 가능한 금액의 비율."
DTI,"총부채상환비율(Debt To Income)로, 연간 소득에서 금융 부채의 연간 상환액이 차지하는 비율."
레버리지,"타인의 자본을 지렛대(Leverage)처럼 이용하여 자기 자본 이익률을 높이는 효과."
헤지펀드,"소수의 투자자로부터 자금을 모집하여 위험을 회피(Hedge)하면서 절대 수익을 추구하는 사모 펀드."
선물거래,"장래의 일정 시점에 미리 정한 가격으로 매매할 것을 현재 시점에서 약정하는 거래."
옵션,"특정 자산을 미래의 정해진 시점에 미리 정한 가격으로 살 수 있는 권리(콜옵션)나 팔 수 있는 권리(풋옵션)를 매매하는 것."
사모펀드,"소수의 투자자로부터 모은 자금으로 운용되는 펀드로, 비공개로 투자자를 모집하는 것이 특징."
액면분할,"주식의 액면가를 일정한 비율로 분할하여 주식 수를 늘리고 주당 가격을 낮추는 것."
유상증자,"회사가 자금을 조달하기 위해 주식을 추가로 발행하고, 이를 돈을 받고 파는 행위."
무상증자,"주주들에게 대가 없이 주식을 나누어 주는 것으로, 잉여금을 자본금으로 전입할 때 주로 사용."
어닝쇼크,"기업의 실적이 시장의 예상치보다 훨씬 저조하여 주가에 충격을 주는 현상."
턴어라운드,"적자에 허덕이던 부실 기업이 경영 혁신 등을 통해 흑자로 돌아서는 상황."
모라토리엄,"국가나 지자체가 외부에서 빌린 돈의 만기가 돌아왔음에도 불구하고 빚을 갚을 수 없어 상환 유예를 선언하는 것."
디폴트,"채무 불이행 상태로, 빌린 돈의 이자나 원금을 계약된 날짜에 갚지 못하는 상황."
환율,"한 나라의 화폐와 다른 나라 화폐 간의 교환 비율."
구매력평가,"환율이 양국 통화의 구매력에 의해 결정된다는 이론(PPP)으로, 빅맥 지수가 대표적인 예."
리디노미네이션,"화폐의 실질 가치는 그대로 두고 액면 단위를 낮추는 화폐 개혁."
오픈API,"핀테크 기업 등이 금융 회사의 기능이나 데이터에 접근할 수 있도록 공개된 프로그래밍 인터페이스."
샌드박스,"혁신적인 금융 서비스가 현행 규제에 막혀 출시되지 못하는 것을 방지하기 위해, 규제를 일정 기간 유예하거나 면제해주는 제도."
